trade_date,roll_yield,pairs_count,structure
2020-01-02,0.024691224803786216,5,contango
2020-01-03,0.02484381079987022,6,contango
2020-01-06,0.024822071822848353,6,contango
2020-01-07,0.025376373053886042,6,contango
2020-01-08,0.024128656348082707,6,contango
2020-01-09,0.02416753034602063,6,contango
2020-01-10,0.027271096295675812,6,contango
2020-01-13,0.026315805273960456,6,contango
2020-01-14,0.022802037215337075,6,contango
2020-01-15,0.029348798996298824,5,contango
2020-01-16,0.028219046445718397,6,contango
2020-01-17,0.024576459843874767,6,contango
2020-01-20,0.025930368472958293,6,contango
2020-01-21,0.022955790645801145,6,contango
2020-01-22,0.025591596417396143,6,contango
2020-01-23,0.023069535148281237,6,contango
2020-02-03,0.031018644926585123,7,contango
2020-02-04,0.029936701771856804,7,contango
2020-02-05,0.03206791709347486,8,contango
2020-02-06,0.02920530963163438,8,contango
2020-02-07,0.03214171382274,8,contango
2020-02-10,0.03570782723463546,8,contango
2020-02-11,0.033117420763619454,8,contango
2020-02-12,0.03217993581484315,8,contango
2020-02-13,0.03741894248905879,8,contango
2020-02-14,0.03827390279441656,8,contango
2020-02-17,0.03574344635736716,7,contango
2020-02-18,0.03322990222861616,7,contango
2020-02-19,0.03163855406354561,7,contango
2020-02-20,0.030712914974163317,7,contango
2020-02-21,0.030694957001572622,7,contango
2020-02-24,0.033111198778272864,8,contango
2020-02-25,0.029337267365237046,8,contango
2020-02-26,0.026844706411585102,8,contango
2020-02-27,0.03293846598118799,8,contango
2020-02-28,0.033302626041544256,8,contango
2020-03-02,0.034928417044614586,8,contango
2020-03-03,0.03335515231749166,8,contango
2020-03-04,0.03354492024103382,8,contango
2020-03-05,0.03354492787190302,8,contango
2020-03-06,0.030319083281981046,8,contango
2020-03-09,0.036567682310700136,9,contango
2020-03-10,0.040671116427797555,9,contango
2020-03-11,0.04102906536173626,9,contango
2020-03-12,0.03711805203777586,9,contango
2020-03-13,0.0378476223271177,9,contango
2020-03-16,0.033277206334878094,8,contango
2020-03-17,0.035163205106040304,8,contango
2020-03-18,0.038001136245342994,8,contango
2020-03-19,0.01940392147365363,8,contango
2020-03-20,0.03762823797318945,8,contango
2020-03-23,0.03820483015431294,8,contango
2020-03-24,0.033397165662722134,8,contango
2020-03-25,0.03156753449639597,8,contango
2020-03-26,0.0281043501086347,8,contango
2020-03-27,-0.0031702522980941762,8,contango
2020-03-30,-0.00175099150400162,8,contango
2020-03-31,-0.00032296660823860873,8,contango
2020-04-01,-0.000666374435434285,8,contango
2020-04-02,-0.009920518290241771,8,contango
2020-04-03,-0.013405044751291995,8,contango
2020-04-07,-0.010563985269657726,8,contango
2020-04-08,-0.009891788511363093,8,contango
2020-04-09,-0.009896148809435481,8,contango
2020-04-10,-0.010464018169218787,8,contango
2020-04-13,-0.005528004168143749,8,contango
2020-04-14,-0.004148528742549394,8,contango
2020-04-15,-0.012309424056082145,7,contango
2020-04-16,-0.010559228845961386,7,backwardation
2020-04-17,-0.007321611609417971,7,contango
2020-04-20,-0.013971312755354908,7,backwardation
2020-04-21,-0.020021455789977348,7,backwardation
2020-04-22,-0.01933593369425087,7,backwardation
2020-04-23,-0.022552179965984753,7,backwardation
2020-04-24,-0.023448875445815937,7,backwardation
2020-04-27,-0.018110866457339864,7,backwardation
2020-04-28,-0.012187718065494017,7,backwardation
2020-04-29,-0.019579217602926916,8,backwardation
2020-04-30,-0.014412945893508586,8,backwardation
2020-05-06,-0.023360957512468243,8,backwardation
2020-05-07,-0.022738999743406256,8,backwardation
2020-05-08,-0.028393636749606828,8,backwardation
2020-05-11,-0.02642472064070057,8,backwardation
